categoria,cantico_id,club_id,equipo_mencionado_fuente,titulo_referencia,fuente,url,posible_similar_a,observacion_revision
asociación con club,CAN0024,CLU003,América de Cali,Esta Hinchada No Te Deja de Alentar,FanChants,https://www.fanchants.com/es/football-songs/america-de-cali-chants/deportivo-cali-chant-10/,,La URL y la descripción histórica de FanChants mencionan Deportivo Cali; revisar asociación con América de Cali.
similitud,CAN0028,CLU004,Deportivo Pasto,La Banda Loca,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/la-banda-loca/,CAN0046,"Similitud alta conservada: CAN0046 (secuencia=0.971, vocabulario=0.931, longitud=1.000)"
similitud,CAN0030,CLU004,Deportivo Pasto,Los Vendidos,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/los-vendidos/,CAN0049,"Similitud alta conservada: CAN0049 (secuencia=0.880, vocabulario=0.891, longitud=0.923)"
similitud,CAN0031,CLU004,Deportivo Pasto,No Me Arrepiento,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/no-me-arrepiento/,CAN0051,"Similitud alta conservada: CAN0051 (secuencia=0.905, vocabulario=0.829, longitud=0.976)"
similitud,CAN0036,CLU004,Deportivo Pasto,Tricolores,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/tricolores/,CAN0055,"Similitud alta conservada: CAN0055 (secuencia=0.960, vocabulario=0.927, longitud=0.961)"
similitud,CAN0099,CLU006,Atlético Nacional,En el Cielo alentando está la Banda Inmortal,Barrabrava.net,https://barrabrava.net/atletico-nacional/los-del-sur/letra/en-el-cielo-alentando-esta-la-banda-inmortal/,CAN0102 | CAN0168,"Similitud alta conservada: CAN0102 (secuencia=0.885, vocabulario=0.706, longitud=1.000) | CAN0168 (secuencia=0.880, vocabulario=0.812, longitud=0.923)"
similitud,CAN0102,CLU006,Atlético Nacional,La banda Inmortal,Barrabrava.net,https://barrabrava.net/atletico-nacional/los-del-sur/letra/la-banda-inmortal/,CAN0099,"Similitud alta conservada: CAN0099 (secuencia=0.885, vocabulario=0.706, longitud=1.000)"
similitud,CAN0121,CLU006,Atlético Nacional,Tus eres mi equipo del alma,Barrabrava.net,https://barrabrava.net/atletico-nacional/los-del-sur/letra/tus-eres-mi-equipo-del-alma/,CAN0151,"Similitud alta conservada: CAN0151 (secuencia=0.989, vocabulario=1.000, longitud=1.000)"
similitud,CAN0126,CLU006,Atlético Nacional,Verde vos sos la alegría del mundo entero,Barrabrava.net,https://barrabrava.net/atletico-nacional/los-del-sur/letra/verde-vos-sos-la-alegria-del-mundo-entero/,CAN0128,"Similitud alta conservada: CAN0128 (secuencia=0.891, vocabulario=0.783, longitud=1.000)"
similitud,CAN0128,CLU006,Atlético Nacional,Acá Estoy de Nuevo,FanChants,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atlctico-nacional-chant-5-an/,CAN0126,"Similitud alta conservada: CAN0126 (secuencia=0.891, vocabulario=0.783, longitud=1.000)"
asociación con club,CAN0141,CLU006,Atlético Nacional,Oh No Les Da Verguenza,FanChants,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atletico-nacional-chant-2-an/,,La descripción histórica de FanChants menciona Independiente Medellín aunque la página está alojada bajo Atlético Nacional.
asociación con club,CAN0147,CLU006,Atlético Nacional,Que Lo Vengan a Ver,FanChants,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atlctico-nacional-chant-21-an/,,La descripción histórica de FanChants menciona América de Cali aunque la página está alojada bajo Atlético Nacional.
similitud,CAN0151,CLU006,Atlético Nacional,Tu Eres Mi Equipo del Alma,FanChants,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atletico-nacional-chant-7-an/,CAN0121,"Similitud alta conservada: CAN0121 (secuencia=0.989, vocabulario=1.000, longitud=1.000)"
similitud,CAN0168,CLU006,Atlético Nacional,¡Vamos Nacional!,FanChants,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atlctico-nacional-chant-25-an/,CAN0099,"Similitud alta conservada: CAN0099 (secuencia=0.880, vocabulario=0.812, longitud=0.923)"
similitud,CAN0179,CLU009,Deportivo Cali,Cantare con todo el alma,Barrabrava.net,https://barrabrava.net/deportivo-cali/frente-radical-verdiblanco/letra/cantare-con-todo-el-alma/,CAN0192,"Similitud alta conservada: CAN0192 (secuencia=0.916, vocabulario=0.969, longitud=0.863)"
similitud,CAN0192,CLU009,Deportivo Cali,Daria la Vida,FanChants,https://www.fanchants.com/es/football-songs/deportivo-cali-chants/deportivo-cali-chant-1/,CAN0179,"Similitud alta conservada: CAN0179 (secuencia=0.916, vocabulario=0.969, longitud=0.863)"
similitud,CAN0281,CLU012,Deportes Tolima,Esta noche ganamos,Barrabrava.net,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/esta-noche-ganamos/,CAN0305,"Similitud alta conservada: CAN0305 (secuencia=0.882, vocabulario=0.756, longitud=0.979)"
similitud,CAN0286,CLU012,Deportes Tolima,Queremos la copa,Barrabrava.net,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/queremos-la-copa/,CAN0309,"Similitud alta conservada: CAN0309 (secuencia=0.906, vocabulario=0.844, longitud=1.000)"
similitud,CAN0288,CLU012,Deportes Tolima,Se me ha perdido el corazón,Barrabrava.net,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/se-me-ha-perdido-el-corazon/,CAN0302,"Similitud alta conservada: CAN0302 (secuencia=0.931, vocabulario=0.881, longitud=0.980)"
similitud,CAN0290,CLU012,Deportes Tolima,"Soy Del Vinotinto, Si Señor",Barrabrava.net,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/soy-del-vinotinto-si-senor/,CAN0311,"Similitud alta conservada: CAN0311 (secuencia=0.974, vocabulario=0.971, longitud=1.000)"
similitud,CAN0292,CLU012,Deportes Tolima,Toda la Vida Yo Te Voy a Querer,Barrabrava.net,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/toda-la-vida-yo-te-voy-a-querer/,CAN0299,"Similitud alta conservada: CAN0299 (secuencia=0.924, vocabulario=0.917, longitud=0.941)"
similitud,CAN0299,CLU012,Deportes Tolima,A Todos Lados,FanChants,https://www.fanchants.com/es/football-songs/deportes-tolima-chants/everywhere-5/,CAN0292,"Similitud alta conservada: CAN0292 (secuencia=0.924, vocabulario=0.917, longitud=0.941)"
similitud,CAN0302,CLU012,Deportes Tolima,Desde Pequeño,FanChants,https://www.fanchants.com/es/football-songs/deportes-tolima-chants/the-main-group/,CAN0288,"Similitud alta conservada: CAN0288 (secuencia=0.931, vocabulario=0.881, longitud=0.980)"
similitud,CAN0305,CLU012,Deportes Tolima,Esta Noche Ganamos,FanChants,https://www.fanchants.com/es/football-songs/deportes-tolima-chants/tonight-we-win/,CAN0281,"Similitud alta conservada: CAN0281 (secuencia=0.882, vocabulario=0.756, longitud=0.979)"
